Tanggal & Waktu,ID Struk,Status Pembayaran,ID / Kode Outlet,Outlet,Tipe Penjualan,Kasir,No. Hp Pelanggan,Nama Pelanggan,SKU,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Penjualan Kotor,Diskon Produk,Subtotal,Diskon Transaksi,Service Charge,Pajak,Pembulatan,Poin Ditukar,Biaya Admin,Total,Metode Pembayaran,Fee,Pembayaran,Alasan Pembatalan,Catatan Transaksi,Catatan Custom Amount,Pawoon Order No.,Grab Food No.,Partner Reff. Number,Partner Trace No & RRN,Issuer Name,Paid By,Kode Voucher
01-12-2025 10:03:09,QYW8AXF86TEG,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Dimas,,,FOOD009,Lele Goreng Crispy,Makanan,1,"20,000","20,000",0,"20,000",0,0,0,0,0,0,"39,000",Tunai,0,"39,000",,,,PWN-QYW8AX,,,,,,
01-12-2025 10:03:09,QYW8AXF86TEG,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Dimas,,,SNACK01,Kulit Ayam Cabe Garam,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"39,000",Tunai,0,"39,000",,,,PWN-QYW8AX,,,,,,
01-12-2025 10:03:22,NUNWPHBDFZI9,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Nabila,,,SNACK06,Cah Kangkung Terasi,Makanan,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"24,000",Qris ShopeePay,0,"24,000",,,,PWN-NUNWPH,GRB-2771,,,,,
01-12-2025 10:03:22,NUNWPHBDFZI9,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Nabila,,,DRINK05,Air Mineral Botol,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"24,000",Qris ShopeePay,0,"24,000",,,,PWN-NUNWPH,GRB-9846,,,,,
01-12-2025 10:03:22,NUNWPHBDFZI9,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Nabila,,,SIDE003,Nasi Merah,Makanan,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"24,000",Qris ShopeePay,0,"24,000",,,,PWN-NUNWPH,GRB-6065,,,,,
01-12-2025 10:04:19,6SYV6NTKP7G7,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Fikri,,,SIDE002,Nasi Uduk,Makanan,1,"7,000","7,000",0,"7,000",0,0,0,0,0,0,"62,000",Tunai,0,"62,000",,,,PWN-6SYV6N,,,,,,
01-12-2025 10:04:19,6SYV6NTKP7G7,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Fikri,,,FOOD008,Bebek Goreng - Paha,Makanan,1,"35,000","35,000",0,"35,000",0,0,0,0,0,0,"62,000",Tunai,0,"62,000",,,,PWN-6SYV6N,,,,,,
01-12-2025 10:04:19,6SYV6NTKP7G7,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Fikri,,,FOOD009,Lele Goreng Crispy,Makanan,1,"20,000","20,000",0,"20,000",0,0,0,0,0,0,"62,000",Tunai,0,"62,000",,,,PWN-6SYV6N,,,,,,
01-12-2025 10:06:20,H1LC1XI3433U,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Rina,,,SNACK07,Tumis Toge Ikan Asin,Makanan,2,"13,000","26,000",0,"26,000",0,0,0,0,0,0,"114,000",Tunai,0,"114,000",,,,PWN-H1LC1X,,,,,,
01-12-2025 10:06:20,H1LC1XI3433U,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Rina,,,SNACK01,Kulit Ayam Cabe Garam,Makanan,3,"19,000","57,000",0,"57,000",0,0,0,0,0,0,"114,000",Tunai,0,"114,000",,,,PWN-H1LC1X,,,,,,
